STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Alabama,AL,2000,170.74,146.06,18.07,5.04,1.56,154.06,75.29,3.66,2.24,25.78,35.31,11.78,7.78,4.97,3.93,38.35,1287.26
Alaska,AK,2000,50.98,44.47,6.00,0.32,0.19,49.37,3.17,1.53,2.33,20.52,15.87,5.95,1.16,0.05,0.40,81.18,1493.42
Arizona,AZ,2000,95.31,87.89,1.70,3.15,2.57,88.08,44.46,2.19,2.21,5.09,34.05,0.09,4.37,3.51,-0.65,18.47,531.69
Arkansas,AR,2000,84.01,67.88,8.13,7.10,0.90,66.33,26.28,2.90,2.11,12.25,21.89,0.91,4.58,11.42,1.67,31.36,1087.27
California,CA,2000,451.87,391.07,31.05,18.43,11.31,398.58,52.95,27.80,14.43,73.54,225.42,4.45,18.18,24.34,10.76,13.29,307.31
Colorado,CO,2000,109.15,85.71,16.65,5.41,1.39,95.94,38.82,6.92,3.81,9.26,27.02,10.10,2.86,9.10,1.25,25.23,559.34
Connecticut,CT,2000,48.29,45.29,0.73,1.22,1.04,44.56,10.59,8.75,4.54,3.51,17.17,0.00,1.85,0.27,1.61,14.15,260.66
Delaware,DE,2000,19.18,17.74,0.33,0.85,0.26,17.30,5.22,1.22,0.63,4.89,5.34,0.00,1.02,0.63,0.24,24.40,409.34
District Of Columbia,DC,2000,4.70,4.31,0.06,0.13,0.20,4.44,0.17,0.95,1.35,0.03,1.94,0.00,0.21,0.00,0.06,8.21,67.26
Florida,FL,2000,268.73,244.04,10.94,8.55,5.22,244.19,115.44,1.53,4.78,16.87,105.49,0.07,8.81,6.41,9.33,16.75,489.69
Georgia,GA,2000,187.54,170.67,6.96,7.18,2.73,172.49,74.16,8.77,4.15,20.58,64.83,0.00,5.06,5.77,4.21,22.79,568.78
Hawaii,HI,2000,21.55,19.52,1.11,0.55,0.36,18.81,7.78,0.07,0.27,1.34,9.34,0.00,1.13,0.48,1.13,17.76,442.33
Idaho,ID,2000,25.79,16.25,5.27,3.75,0.53,16.17,0.10,1.52,1.07,4.24,9.24,0.00,1.12,7.96,0.54,19.85,654.37
Illinois,IL,2000,281.45,242.98,14.94,19.62,3.91,242.77,84.30,26.96,12.41,44.76,70.33,4.01,12.09,19.14,7.45,22.63,523.97
Indiana,IN,2000,279.42,258.04,6.76,12.10,2.53,238.90,117.89,10.63,6.27,54.23,48.81,1.07,25.54,11.60,3.38,45.87,1259.17
Iowa,IA,2000,115.06,81.58,12.74,19.79,0.95,80.73,35.75,5.54,3.55,16.23,19.67,0.00,3.05,29.67,1.61,39.28,1092.79
Kansas,KS,2000,107.26,79.12,15.17,12.08,0.88,80.27,35.64,4.44,2.54,14.42,19.69,3.54,4.40,20.46,2.13,39.82,1095.47
Kentucky,KY,2000,171.85,152.18,11.81,5.86,2.00,156.26,86.68,4.66,3.18,23.05,32.96,5.73,5.71,7.28,2.59,42.44,1339.26
Louisiana,LA,2000,237.82,218.98,13.02,4.27,1.56,221.56,42.70,3.28,2.58,102.98,62.58,7.45,7.60,5.88,2.78,53.18,1415.45
Maine,ME,2000,25.46,23.55,0.63,0.82,0.46,23.12,3.54,3.94,1.90,4.73,9.02,0.00,1.27,0.41,0.65,19.94,611.46
Maryland,MD,2000,88.81,80.60,3.01,3.29,1.92,80.22,30.65,7.26,4.71,7.25,30.20,0.14,3.66,1.98,2.95,16.72,423.54
Massachusetts,MA,2000,90.14,84.46,1.37,2.09,2.22,84.82,21.89,15.72,6.80,6.61,33.80,0.00,2.38,0.27,2.67,14.17,299.17
Michigan,MI,2000,225.38,203.73,10.44,8.09,3.12,198.77,72.32,24.41,11.33,29.36,60.31,1.04,11.88,6.85,7.89,22.65,607.25
Minnesota,MN,2000,121.86,98.98,6.80,14.47,1.61,99.65,32.61,9.32,5.83,15.19,36.69,0.00,2.37,18.14,1.70,24.70,577.04
Mississippi,MS,2000,74.62,64.76,4.57,4.33,0.96,63.40,20.96,2.34,1.59,11.32,26.38,0.80,4.42,5.35,1.45,26.20,982.00
Missouri,MO,2000,154.05,129.46,10.85,11.55,2.18,127.89,63.79,7.76,4.64,10.09,41.59,0.02,6.33,16.32,3.51,27.47,752.21
Montana,MT,2000,42.63,32.08,6.28,3.74,0.53,33.77,17.24,1.38,0.85,4.77,7.79,1.74,1.02,7.64,0.20,47.17,1653.16
Nebraska,NE,2000,68.94,42.80,11.53,14.05,0.57,42.03,19.00,2.77,1.77,5.67,12.76,0.06,2.13,23.95,0.84,40.23,1058.07
Nevada,NV,2000,49.70,45.94,1.83,1.27,0.66,45.86,24.77,1.86,1.63,2.48,15.10,0.01,1.49,1.47,0.88,24.62,564.44
New Hampshire,NH,2000,18.69,17.89,-0.10,0.51,0.39,18.27,4.52,2.91,1.53,1.68,7.63,0.00,0.40,0.16,-0.14,15.08,383.50
New Jersey,NJ,2000,136.33,128.99,1.85,2.91,2.58,129.96,18.92,17.11,11.07,15.54,67.31,0.00,3.41,0.45,2.51,16.17,346.64
New Mexico,NM,2000,75.65,59.06,13.68,2.27,0.63,68.40,31.02,2.32,1.63,8.28,15.99,9.17,1.23,5.14,0.88,41.54,1292.47
New York,NY,2000,247.03,218.95,15.42,6.54,6.11,220.99,55.83,40.09,32.24,21.06,71.27,0.50,8.07,4.96,13.01,13.00,286.17
North Carolina,NC,2000,170.92,150.21,10.65,7.16,2.90,152.43,69.56,7.20,4.57,18.33,52.77,0.00,4.13,9.55,4.81,21.15,540.27
North Dakota,ND,2000,59.43,48.23,4.17,6.76,0.28,49.11,32.33,1.27,0.96,7.77,5.80,0.98,0.67,9.33,0.32,92.57,2797.68
Ohio,OH,2000,312.33,281.86,14.36,11.97,4.13,273.52,122.30,22.09,11.58,40.69,72.22,4.63,21.49,10.28,7.04,27.48,727.84
Oklahoma,OK,2000,128.03,103.66,16.26,6.90,1.21,107.13,44.03,4.21,2.56,19.16,31.68,5.49,4.75,13.65,2.49,37.06,1160.65
Oregon,OR,2000,52.40,43.04,4.02,3.15,2.19,42.78,7.37,2.80,2.11,6.71,23.78,0.00,3.64,4.56,1.42,15.28,432.17
Pennsylvania,PA,2000,315.58,286.79,17.93,6.81,4.05,292.71,116.14,25.85,13.00,49.89,73.81,14.01,15.45,6.15,1.27,25.69,697.50
Rhode Island,RI,2000,12.98,12.51,-0.16,0.32,0.32,12.05,2.66,2.54,1.24,0.69,4.91,0.00,1.08,0.04,-0.19,12.36,338.53
South Carolina,SC,2000,92.47,83.41,4.31,2.98,1.77,82.60,36.04,2.47,1.80,13.80,28.49,0.00,4.27,2.20,3.40,22.98,706.88
South Dakota,SD,2000,30.36,15.00,6.70,8.42,0.24,14.63,3.83,1.20,0.74,2.57,6.09,0.21,1.04,14.29,0.39,40.16,1130.49
Tennessee,TN,2000,145.66,131.49,6.42,5.44,2.30,129.94,57.51,4.83,3.90,19.87,43.68,0.16,6.33,6.04,3.35,25.54,735.26
Texas,TX,2000,799.66,708.63,58.57,24.05,8.41,728.74,228.42,12.90,13.68,259.61,190.38,23.75,19.36,38.42,13.14,38.18,916.41
United States,US,2000,6947.03,6045.21,480.45,319.77,101.59,6125.44,2255.19,381.83,239.17,1126.61,1967.06,155.58,268.71,409.59,143.29,24.62,618.99
Utah,UT,2000,73.99,65.67,5.50,2.12,0.70,67.78,32.68,3.28,2.10,10.39,16.45,2.87,2.28,3.20,0.72,32.97,928.98
Vermont,VT,2000,8.17,6.79,0.66,0.46,0.25,6.98,0.13,1.60,0.76,0.58,3.91,0.00,0.28,0.93,-0.02,13.39,408.96
Virginia,VA,2000,146.38,125.85,12.88,5.32,2.33,131.50,42.45,8.29,5.91,17.92,50.97,5.97,5.10,5.08,4.70,20.60,490.84
Washington,WA,2000,99.51,86.34,4.66,4.74,3.76,86.83,14.07,5.30,3.48,17.36,46.55,0.06,5.32,5.66,1.70,16.84,384.00
West Virginia,WV,2000,139.12,116.02,20.74,1.52,0.83,133.32,83.50,2.41,2.19,13.54,13.28,18.40,3.04,1.11,1.64,76.99,2807.61
Wisconsin,WI,2000,130.67,110.62,10.46,7.87,1.72,111.71,43.97,10.22,5.63,20.33,31.58,0.00,2.88,12.60,3.48,24.32,656.07
Wyoming,WY,2000,79.41,64.03,12.74,2.44,0.19,73.72,43.78,0.82,1.00,9.82,7.88,10.43,0.99,4.44,0.25,160.64,3431.69
Alabama,AL,2001,161.73,138.19,16.88,5.02,1.64,144.81,72.54,3.54,2.16,22.69,33.16,10.72,7.94,5.00,3.97,36.20,1208.50
Alaska,AK,2001,50.64,44.09,5.99,0.35,0.20,49.13,3.25,1.83,2.50,20.66,14.97,5.92,1.00,0.09,0.42,79.90,1418.69
Arizona,AZ,2001,97.50,89.67,2.15,3.20,2.48,90.10,45.70,2.22,2.10,4.95,35.04,0.09,3.95,3.81,-0.35,18.49,524.25
Arkansas,AR,2001,83.28,66.30,8.45,7.57,0.96,65.32,26.83,2.64,2.14,11.93,20.68,1.10,4.18,12.26,1.52,30.94,1064.78
California,CA,2001,458.32,395.73,31.94,18.88,11.77,402.87,57.86,28.91,14.91,76.06,220.85,4.28,18.15,25.72,11.59,13.29,311.29
Colorado,CO,2001,117.07,93.49,16.73,5.37,1.48,103.76,41.03,7.33,4.42,12.56,28.30,10.11,2.85,9.07,1.39,26.45,580.21
Connecticut,CT,2001,46.42,43.42,0.71,1.17,1.11,42.70,9.41,8.47,4.31,2.67,17.84,0.00,1.87,0.28,1.57,13.52,248.70
Delaware,DE,2001,18.64,17.13,0.39,0.85,0.28,16.73,5.11,1.17,0.68,4.81,4.96,0.00,0.99,0.63,0.29,23.43,379.89
District Of Columbia,DC,2001,4.49,4.09,0.06,0.13,0.22,4.22,0.16,0.81,1.38,0.07,1.81,0.00,0.22,0.00,0.06,7.82,60.87
Florida,FL,2001,267.33,242.68,10.65,8.38,5.63,241.33,116.37,1.44,4.89,14.76,103.81,0.06,9.34,6.41,10.26,16.34,474.91
Georgia,GA,2001,179.85,163.06,6.64,7.22,2.94,164.71,68.93,7.42,3.78,19.98,64.59,0.00,5.20,5.95,3.99,21.47,538.43
Hawaii,HI,2001,21.78,19.77,1.09,0.54,0.39,19.27,7.78,0.07,0.24,1.34,9.84,0.00,0.98,0.46,1.08,17.77,451.18
Idaho,ID,2001,26.08,16.28,5.51,3.79,0.50,16.10,0.58,1.44,1.03,4.03,9.02,0.00,1.18,8.25,0.55,19.76,663.76
Illinois,IL,2001,270.34,232.49,13.20,20.48,4.18,232.61,84.40,24.43,11.80,40.72,67.84,3.43,11.29,20.15,6.30,21.65,501.74
Indiana,IN,2001,269.16,246.61,7.19,12.84,2.51,229.41,112.92,9.48,5.66,55.16,44.67,1.53,23.75,12.42,3.59,43.92,1233.49
Iowa,IA,2001,114.42,80.20,12.65,20.55,1.02,79.57,35.81,4.90,3.53,15.80,19.53,0.00,2.85,30.36,1.65,39.03,1109.13
Kansas,KS,2001,103.77,74.58,15.11,13.15,0.93,76.20,34.47,4.24,2.45,13.11,18.38,3.56,3.94,21.76,1.86,38.40,1045.90
Kentucky,KY,2001,173.11,153.22,11.86,6.09,1.94,157.37,87.68,3.96,3.00,23.55,33.32,5.86,5.61,7.68,2.45,42.55,1347.47
Louisiana,LA,2001,220.56,202.14,12.57,4.24,1.62,205.38,39.33,3.10,1.98,99.26,54.94,6.77,6.55,5.88,2.75,49.26,1285.54
Maine,ME,2001,25.43,23.53,0.63,0.82,0.44,23.03,5.75,3.91,1.59,3.69,8.08,0.00,1.26,0.44,0.70,19.78,598.04
Maryland,MD,2001,89.14,81.14,2.89,3.11,1.99,80.52,29.99,6.53,4.86,8.70,30.30,0.14,3.66,1.83,3.12,16.59,407.76
Massachusetts,MA,2001,89.44,83.87,1.26,1.99,2.32,83.97,21.70,16.06,5.77,7.17,33.26,0.00,2.39,0.27,2.81,13.98,289.84
Michigan,MI,2001,219.37,197.74,10.59,7.74,3.32,193.47,71.98,23.52,10.70,26.68,59.52,1.06,11.24,6.71,7.96,21.96,605.45
Minnesota,MN,2001,118.52,95.87,6.82,14.11,1.72,96.53,32.17,8.94,5.84,13.76,35.81,0.00,2.28,17.91,1.81,23.79,556.97
Mississippi,MS,2001,83.23,72.82,4.80,4.59,1.02,71.73,30.13,2.39,1.63,11.15,25.57,0.87,4.19,5.73,1.57,29.17,1096.18
Missouri,MO,2001,160.43,135.33,10.65,12.27,2.18,133.75,66.83,8.44,5.19,11.65,41.63,0.01,6.26,17.09,3.33,28.44,784.85
Montana,MT,2001,43.13,32.45,6.40,3.81,0.47,34.21,17.99,1.38,0.86,4.11,7.90,1.98,1.11,7.63,0.18,47.55,1617.77
Nebraska,NE,2001,71.78,43.98,11.46,15.74,0.60,43.35,20.59,2.98,1.74,5.97,12.02,0.06,2.01,25.56,0.86,41.74,1088.93
Nevada,NV,2001,48.94,45.02,1.90,1.29,0.73,45.08,24.09,1.98,1.44,2.46,15.09,0.01,1.39,1.54,0.94,23.32,550.10
New Hampshire,NH,2001,17.69,16.93,-0.14,0.49,0.41,17.25,4.16,2.84,1.39,1.23,7.63,0.00,0.42,0.16,-0.14,14.09,363.40
New Jersey,NJ,2001,134.28,126.89,1.82,2.79,2.77,127.90,18.65,16.59,9.60,17.75,65.32,0.00,3.55,0.46,2.36,15.81,334.05
New Mexico,NM,2001,76.18,59.06,14.17,2.33,0.63,68.47,30.33,2.55,1.76,7.93,16.35,9.55,1.48,5.29,0.94,41.59,1266.41
New York,NY,2001,239.96,212.55,14.64,6.37,6.40,213.72,54.96,38.84,30.81,17.61,70.99,0.51,8.32,4.98,12.94,12.57,267.79
North Carolina,NC,2001,166.57,145.15,11.18,7.20,3.04,147.11,66.94,6.82,4.52,16.96,51.88,0.00,4.35,9.95,5.16,20.29,519.57
North Dakota,ND,2001,60.68,48.61,4.29,7.54,0.25,49.61,32.05,1.27,0.98,8.10,6.26,0.95,0.49,10.25,0.33,94.96,2817.10
Ohio,OH,2001,301.00,270.01,14.15,12.62,4.21,263.49,115.92,19.59,11.18,40.33,71.82,4.66,19.52,11.20,6.78,26.43,716.00
Oklahoma,OK,2001,130.63,104.00,18.36,7.03,1.24,110.54,43.53,4.10,2.63,18.09,34.47,7.73,3.94,13.68,2.46,37.68,1139.10
Oregon,OR,2001,51.41,42.00,3.99,3.43,1.98,41.94,8.55,2.84,2.19,5.65,22.70,0.01,3.18,4.79,1.50,14.82,428.83
Pennsylvania,PA,2001,300.20,272.01,17.39,6.59,4.20,279.26,106.24,24.61,12.78,48.72,73.47,13.47,13.42,6.16,1.36,24.41,661.79
Rhode Island,RI,2001,13.60,13.02,-0.04,0.29,0.34,12.57,3.22,2.61,1.26,0.56,4.93,0.00,1.06,0.04,-0.06,12.87,342.02
South Carolina,SC,2001,92.31,83.40,4.23,2.95,1.73,82.36,34.15,2.21,1.70,15.59,28.72,0.00,4.27,2.25,3.42,22.71,698.75
South Dakota,SD,2001,30.69,14.32,7.00,9.11,0.26,13.95,3.84,1.13,0.71,2.04,6.00,0.23,1.06,15.29,0.39,40.49,1112.65
Tennessee,TN,2001,145.68,131.18,6.37,5.83,2.31,129.71,55.17,4.58,3.82,22.55,43.42,0.17,6.22,6.52,3.22,25.33,727.51
Texas,TX,2001,789.35,699.16,57.54,24.12,8.53,718.60,219.75,13.93,11.83,251.69,197.75,23.65,19.75,38.50,12.50,37.02,881.59
United States,US,2001,6842.60,5927.49,482.23,328.38,104.49,6016.26,2218.35,369.54,230.45,1098.18,1941.94,157.79,257.38,423.79,145.17,24.01,602.12
Utah,UT,2001,71.38,63.32,5.20,2.10,0.76,65.45,32.15,3.31,2.28,9.35,15.79,2.59,1.99,3.24,0.70,31.26,880.51
Vermont,VT,2001,8.07,6.64,0.68,0.53,0.22,6.90,0.05,1.58,0.79,0.49,3.99,0.00,0.25,0.94,-0.01,13.18,394.01
Virginia,VA,2001,143.93,123.70,12.51,5.23,2.49,129.05,41.90,7.50,5.38,17.73,50.84,5.69,4.64,5.27,4.97,20.00,462.54
Washington,WA,2001,94.28,81.45,4.86,4.66,3.31,82.03,13.96,6.15,3.93,13.46,44.46,0.07,4.60,5.64,2.01,15.75,369.25
West Virginia,WV,2001,131.91,108.02,21.61,1.48,0.80,126.00,74.09,2.43,1.93,15.13,13.07,19.35,3.19,1.11,1.60,73.22,2641.22
Wisconsin,WI,2001,127.82,106.78,11.27,7.93,1.84,107.79,43.62,9.75,5.41,17.67,31.34,0.00,2.98,12.78,4.28,23.64,636.98
Wyoming,WY,2001,81.05,64.41,13.98,2.46,0.20,75.31,43.76,0.79,1.00,10.12,8.03,11.61,1.08,4.39,0.26,163.85,3271.71
Alabama,AL,2002,165.60,143.72,15.41,4.76,1.72,148.18,75.99,3.25,1.99,22.69,35.01,9.25,8.53,4.88,4.01,36.96,1208.61
Alaska,AK,2002,51.02,44.39,6.08,0.33,0.22,49.34,3.27,1.65,2.08,21.11,15.26,5.98,1.16,0.08,0.43,79.42,1376.66
Arizona,AZ,2002,96.74,88.89,2.15,3.10,2.61,89.34,44.73,2.19,2.18,4.41,35.74,0.09,3.90,3.89,-0.39,17.93,508.14
Arkansas,AR,2002,82.41,65.46,8.63,7.31,1.00,64.37,25.41,2.61,2.13,11.52,21.23,1.46,4.62,11.88,1.55,30.46,1026.32
California,CA,2002,459.38,395.52,32.71,18.81,12.34,401.39,43.78,28.92,14.29,77.80,232.27,4.32,19.17,26.82,12.00,13.17,305.89
Colorado,CO,2002,115.75,91.72,17.53,4.94,1.56,102.68,39.79,7.61,4.36,12.11,28.03,10.79,2.80,8.73,1.54,25.78,566.23
Connecticut,CT,2002,44.70,41.82,0.62,1.08,1.17,41.11,8.52,8.20,4.12,2.58,17.69,0.00,1.96,0.29,1.35,12.92,243.40
Delaware,DE,2002,18.49,17.03,0.41,0.75,0.30,16.59,5.07,1.18,0.74,4.43,5.17,0.00,1.03,0.55,0.32,22.94,386.66
District Of Columbia,DC,2002,4.59,4.20,0.06,0.11,0.22,4.30,0.27,0.93,1.32,0.07,1.70,0.00,0.23,0.00,0.06,8.00,60.32
Florida,FL,2002,272.58,247.55,10.73,8.29,6.01,245.13,119.00,1.39,4.99,13.46,106.24,0.05,9.87,6.13,11.45,16.33,467.83
Georgia,GA,2002,184.86,168.03,6.71,6.98,3.13,169.42,73.69,7.69,3.37,20.24,64.44,0.00,5.53,5.88,4.03,21.73,547.20
Hawaii,HI,2002,22.97,20.95,1.09,0.51,0.41,20.64,8.35,0.07,0.31,1.51,10.40,0.00,0.87,0.45,1.01,18.53,463.60
Idaho,ID,2002,25.60,15.70,5.65,3.75,0.50,15.49,0.14,1.43,0.99,3.80,9.14,0.00,1.15,8.38,0.57,19.10,635.97
Illinois,IL,2002,271.45,235.74,12.62,18.70,4.39,234.17,86.82,26.29,12.44,40.25,65.46,2.91,12.45,18.65,6.18,21.67,501.99
Indiana,IN,2002,268.30,246.92,7.50,11.26,2.62,232.61,112.25,10.20,5.89,54.89,47.80,1.58,20.63,11.11,3.95,43.58,1196.01
Iowa,IA,2002,115.33,81.02,12.92,20.33,1.06,80.16,35.48,5.25,3.65,15.72,20.06,0.00,3.05,30.46,1.66,39.31,1087.24
Kansas,KS,2002,107.92,79.67,15.51,11.76,0.98,80.86,37.65,4.38,2.45,13.89,18.65,3.85,4.66,20.49,1.90,39.77,1077.56
Kentucky,KY,2002,173.48,154.00,11.70,5.71,2.06,157.40,87.39,4.07,3.06,23.02,34.28,5.58,6.08,7.48,2.51,42.42,1315.69
Louisiana,LA,2002,226.82,209.09,11.98,4.05,1.70,211.91,41.47,2.94,1.94,102.62,56.21,6.72,6.98,5.15,2.77,50.43,1305.75
Maine,ME,2002,25.82,23.97,0.63,0.79,0.44,23.43,5.94,3.52,1.82,3.02,9.14,0.00,1.26,0.44,0.68,19.93,592.76
Maryland,MD,2002,88.96,81.49,2.59,2.74,2.14,80.44,30.36,6.79,4.87,8.48,29.76,0.17,4.03,1.59,2.90,16.35,394.71
Massachusetts,MA,2002,90.27,84.91,1.07,1.83,2.46,84.76,22.60,15.98,5.90,7.04,33.24,0.00,2.54,0.26,2.71,14.07,292.19
Michigan,MI,2002,218.81,197.20,10.45,7.68,3.49,193.03,70.33,24.73,10.96,25.48,60.43,1.09,11.13,7.01,7.65,21.85,586.74
Minnesota,MN,2002,121.54,98.33,6.86,14.54,1.81,98.74,32.82,9.34,6.38,13.96,36.25,0.00,2.40,18.52,1.88,24.22,558.29
Mississippi,MS,2002,76.71,66.21,4.90,4.54,1.06,64.54,22.87,2.07,1.49,11.21,26.00,0.89,4.67,5.82,1.69,26.84,1000.80
Missouri,MO,2002,160.46,136.03,10.60,11.53,2.30,134.10,67.33,7.84,4.62,11.89,42.40,0.01,6.53,16.57,3.26,28.28,771.56
Montana,MT,2002,41.78,31.39,6.28,3.60,0.50,33.18,16.30,1.45,0.91,4.62,7.90,2.00,1.10,7.36,0.14,45.83,1553.06
Nebraska,NE,2002,69.78,43.51,11.30,14.34,0.63,42.74,19.98,2.89,1.65,5.86,12.30,0.06,2.13,24.02,0.89,40.38,1050.06
Nevada,NV,2002,45.79,41.89,1.95,1.17,0.78,41.90,20.96,2.00,1.47,2.20,15.26,0.01,1.40,1.46,1.02,21.06,502.38
New Hampshire,NH,2002,18.42,17.66,-0.13,0.46,0.44,17.93,4.32,2.65,1.39,1.12,8.46,0.00,0.45,0.16,-0.11,14.52,368.21
New Jersey,NJ,2002,134.04,126.59,1.98,2.55,2.93,127.57,19.06,15.94,9.58,17.09,65.90,0.00,3.74,0.40,2.33,15.67,329.03
New Mexico,NM,2002,73.64,56.05,14.74,2.20,0.64,65.80,28.53,2.34,1.74,7.25,16.04,9.90,1.45,5.40,1.00,39.69,1195.58
New York,NY,2002,235.15,207.19,15.19,6.01,6.76,207.81,50.81,36.58,31.35,16.20,72.31,0.56,8.78,5.05,13.50,12.29,263.47
North Carolina,NC,2002,168.03,146.48,11.62,6.71,3.22,148.15,69.40,6.36,4.02,16.14,52.23,0.00,4.55,9.79,5.54,20.18,518.36
North Dakota,ND,2002,60.25,48.41,4.18,7.42,0.24,49.32,32.44,1.24,1.02,7.52,6.21,0.90,0.52,10.15,0.26,94.41,2662.89
Ohio,OH,2002,303.56,274.38,14.23,10.56,4.39,268.86,121.94,20.62,11.13,38.68,72.10,4.40,18.15,9.47,7.07,26.61,706.36
Oklahoma,OK,2002,131.33,104.28,18.80,6.98,1.27,110.64,45.93,4.38,2.52,17.76,32.22,7.83,4.30,13.96,2.43,37.64,1138.43
Oregon,OR,2002,50.09,40.34,4.21,3.58,1.96,40.30,6.40,2.83,2.11,5.95,23.01,0.00,3.02,5.20,1.57,14.26,398.36
Pennsylvania,PA,2002,305.49,278.81,16.09,6.23,4.36,284.82,113.54,23.93,12.75,48.29,73.55,12.76,13.87,6.09,0.72,24.77,659.03
Rhode Island,RI,2002,13.18,12.47,0.09,0.27,0.35,11.98,2.93,2.49,1.17,0.52,4.86,0.00,1.10,0.04,0.07,12.36,318.22
South Carolina,SC,2002,93.69,84.86,4.28,2.76,1.80,83.68,34.82,2.18,1.65,15.83,29.20,0.00,4.34,2.11,3.56,22.81,697.70
South Dakota,SD,2002,29.82,14.61,6.90,8.04,0.27,14.18,3.34,1.17,0.71,2.25,6.50,0.22,1.10,14.15,0.39,39.24,1003.81
Tennessee,TN,2002,145.29,130.63,6.85,5.41,2.40,128.69,52.72,4.67,3.74,21.67,45.73,0.17,6.73,6.37,3.49,25.07,703.63
Texas,TX,2002,807.50,716.21,58.73,23.70,8.85,735.55,226.15,13.85,14.32,253.21,204.03,23.98,20.08,38.58,13.29,37.23,881.13
United States,US,2002,6879.05,5973.90,484.01,311.57,109.57,6052.76,2228.06,369.68,231.71,1090.72,1976.08,156.52,262.98,414.16,149.15,23.92,595.06
Utah,UT,2002,70.43,62.51,5.13,1.99,0.81,64.63,33.35,3.55,2.59,6.41,16.32,2.40,1.87,3.19,0.74,30.29,860.77
Vermont,VT,2002,7.78,6.39,0.68,0.50,0.21,6.62,0.03,1.48,0.73,0.48,3.91,0.00,0.24,0.93,0.00,12.64,370.74
Virginia,VA,2002,142.50,122.64,12.36,4.86,2.64,127.40,40.99,7.31,5.04,17.53,50.90,5.64,4.79,5.05,5.25,19.56,451.82
Washington,WA,2002,87.87,75.02,4.98,4.42,3.44,75.56,11.39,5.67,3.37,12.01,43.03,0.09,4.59,5.54,2.17,14.52,341.10
West Virginia,WV,2002,143.60,120.58,20.68,1.50,0.84,137.65,85.86,2.23,1.67,16.66,12.85,18.37,3.19,1.15,1.62,79.54,2839.38
Wisconsin,WI,2002,129.02,108.02,11.23,7.83,1.94,108.78,43.29,10.45,5.81,17.94,31.29,0.00,3.11,12.86,4.26,23.69,631.04
Wyoming,WY,2002,80.46,63.42,14.54,2.29,0.21,74.89,42.26,0.91,0.94,10.34,7.96,12.48,1.13,4.17,0.27,160.91,3191.18
Alabama,AL,2003,166.87,144.71,15.73,4.65,1.79,148.95,76.72,3.10,2.09,23.94,33.63,9.47,8.95,4.95,4.02,37.05,1192.24
Alaska,AK,2003,50.80,44.18,5.94,0.45,0.23,49.11,2.98,1.67,1.94,20.82,15.92,5.77,1.05,0.21,0.43,78.34,1400.29
Arizona,AZ,2003,98.69,90.60,2.15,3.19,2.74,90.88,45.86,2.17,2.05,4.15,36.57,0.09,4.16,3.96,-0.30,17.91,493.19
Arkansas,AR,2003,83.46,66.06,8.82,7.54,1.05,65.02,26.18,2.49,2.18,11.61,20.94,1.63,4.73,12.07,1.64,30.63,1008.95
California,CA,2003,465.63,400.52,33.64,18.40,13.08,405.63,42.76,28.59,14.03,77.24,238.72,4.29,19.85,25.76,14.38,13.21,300.62
Colorado,CO,2003,114.13,90.60,17.05,4.84,1.65,100.76,39.92,7.66,4.20,11.46,27.31,10.21,3.00,8.67,1.71,25.20,556.35
Connecticut,CT,2003,47.18,44.21,0.70,1.03,1.24,43.39,7.78,9.57,4.90,3.03,18.12,0.00,1.89,0.26,1.64,13.54,255.22
Delaware,DE,2003,19.05,17.55,0.43,0.76,0.31,17.22,5.81,1.29,0.79,4.28,5.05,0.00,0.92,0.57,0.34,23.29,377.19
District Of Columbia,DC,2003,4.33,3.92,0.06,0.12,0.23,4.04,0.08,0.99,1.20,0.10,1.66,0.00,0.24,0.00,0.06,7.61,55.59
Florida,FL,2003,277.13,251.29,11.46,7.99,6.38,248.53,123.75,1.42,4.90,14.30,104.10,0.05,10.28,5.94,12.38,16.30,454.63
Georgia,GA,2003,187.49,170.58,6.79,6.81,3.31,171.68,73.75,7.94,3.42,20.85,65.71,0.00,5.63,6.03,4.16,21.74,546.43
Hawaii,HI,2003,23.98,21.95,1.09,0.51,0.44,21.61,7.77,0.06,0.27,1.53,11.98,0.00,0.88,0.45,1.03,19.17,465.94
Idaho,ID,2003,24.93,14.97,5.58,3.86,0.52,14.75,0.51,1.31,0.87,3.44,8.61,0.00,1.16,8.44,0.59,18.29,604.15
Illinois,IL,2003,273.04,238.50,12.14,17.82,4.60,236.04,86.83,26.91,12.90,39.27,67.66,2.47,12.93,17.74,6.34,21.75,494.89
Indiana,IN,2003,274.57,253.46,7.36,11.03,2.71,237.85,113.99,11.12,6.75,55.44,48.78,1.77,22.18,10.88,3.65,44.31,1180.02
Iowa,IA,2003,112.97,80.34,13.17,18.35,1.11,79.48,35.64,5.36,3.77,14.68,20.03,0.00,3.02,28.80,1.66,38.40,1026.13
Kansas,KS,2003,110.39,80.62,16.71,12.04,1.02,83.08,37.48,4.41,2.42,14.60,20.23,3.95,3.48,21.67,2.17,40.54,1074.41
