STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Massachusetts,MA,1992,91.35,85.51,3.15,2.13,0.55,86.32,24.35,16.58,8.97,7.15,29.27,0.00,0.62,0.31,4.10,15.15,
Michigan,MI,1992,202.49,182.52,11.48,7.59,0.89,183.63,64.59,23.67,11.08,31.24,52.25,0.80,3.43,6.37,9.06,21.36,
Minnesota,MN,1992,101.98,81.72,7.46,12.29,0.51,82.95,28.21,8.51,5.05,13.46,27.73,0.00,0.58,15.76,2.68,22.68,
Mississippi,MS,1992,59.39,49.54,4.82,4.69,0.34,50.65,10.81,1.91,1.36,11.88,23.94,0.74,1.13,6.19,1.43,22.64,
Missouri,MO,1992,129.36,106.00,11.21,11.18,0.96,105.50,46.35,7.74,4.49,9.95,36.87,0.10,3.94,15.99,3.93,24.79,
Montana,MT,1992,41.32,31.33,6.09,3.51,0.39,33.00,18.42,1.14,0.77,4.45,6.59,1.63,0.77,7.21,0.35,50.04,
Nebraska,NE,1992,55.89,33.52,9.76,12.43,0.19,33.51,13.18,2.56,2.00,4.52,11.17,0.08,0.96,20.78,0.65,34.68,
Nevada,NV,1992,36.83,34.25,1.42,0.98,0.18,34.16,18.78,1.25,1.11,2.53,10.45,0.05,0.87,1.36,0.44,27.26,
New Hampshire,NH,1992,15.68,14.51,0.58,0.48,0.11,14.85,4.27,2.58,1.20,1.14,5.65,0.00,0.12,0.16,0.55,14.02,
New Jersey,NJ,1992,131.79,123.46,4.72,2.92,0.68,125.48,12.73,16.97,11.50,23.74,60.56,0.00,0.76,0.50,5.04,16.72,
New Mexico,NM,1992,61.79,51.16,8.30,2.12,0.22,56.69,26.22,2.01,1.74,6.88,14.79,5.04,0.52,3.92,0.66,38.73,
New York,NY,1992,227.81,203.05,16.42,6.53,1.80,206.02,53.84,36.77,27.66,22.20,65.04,0.51,2.71,5.11,13.97,12.48,
North Carolina,NC,1992,137.88,121.55,8.19,6.99,1.16,124.55,54.09,6.08,3.82,19.49,41.08,0.00,1.23,7.60,4.50,19.99,
North Dakota,ND,1992,52.76,43.45,3.76,5.40,0.14,44.51,30.37,1.10,0.82,6.24,5.14,0.83,0.25,7.72,0.28,82.66,
Ohio,OH,1992,281.11,251.06,17.08,11.09,1.88,259.20,112.68,22.45,11.18,49.62,58.23,5.05,3.09,9.66,9.16,25.49,
Oklahoma,OK,1992,120.83,96.38,16.89,7.10,0.46,101.99,38.84,3.86,2.21,22.33,27.77,6.97,3.35,12.80,2.69,37.52,
Oregon,OR,1992,44.55,36.39,3.88,3.24,1.04,37.14,4.54,1.95,1.69,6.31,22.65,0.00,1.45,4.56,1.40,14.89,
Pennsylvania,PA,1992,302.13,271.74,22.13,6.88,1.38,284.13,103.43,25.79,14.27,63.76,63.95,12.93,5.45,6.32,6.23,25.07,
Rhode Island,RI,1992,13.87,13.05,0.42,0.32,0.07,13.37,2.17,2.81,1.09,2.95,4.35,0.00,0.08,0.04,0.37,13.70,
