"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Georgia,Houston County,139900,ND,ND,ND,ND,ND,ND,12,26,ND,ND,ND
Georgia,Lowndes County,109233,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Georgia,Murray County,39628,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Georgia,Muscogee County,189885,ND,0.07,ND,ND,0.068,38,15,30,1.193,3.4,13
Georgia,Paulding County,142324,1,ND,2.638,18,0.071,ND,11.2,21,ND,ND,ND
Georgia,Richmond County,200549,ND,ND,ND,ND,0.072,42,13.4,27,ND,ND,ND
Georgia,Rockdale County,85215,ND,ND,3.999,24,0.076,ND,ND,ND,ND,ND,ND
Georgia,Sumter County,32819,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Georgia,Walker County,68756,ND,ND,ND,ND,ND,ND,8.9,20,ND,ND,ND
Georgia,Washington County,21187,ND,ND,ND,ND,ND,42,IN,IN,ND,ND,ND
Georgia,Wilkinson County,9563,ND,ND,ND,ND,ND,ND,13.7,23,ND,ND,ND
Hawaii,Hawaii County,185079,ND,ND,ND,ND,ND,ND,18.2,35,ND,ND,ND
Hawaii,Honolulu County,953207,1,0,3.411,24,0.047,70,4.7,12,1.272,4,18
Hawaii,Maui County,154834,ND,ND,ND,ND,ND,ND,4.8,14,ND,ND,ND
Idaho,Ada County,392365,2,ND,9.51,45,0.069,55,5,12,0.366,1.1,IN
Idaho,Bannock County,82839,ND,ND,ND,ND,ND,80,IN,IN,3.492,17.7,IN
Idaho,Benewah County,9285,ND,ND,ND,ND,ND,ND,9.2,27,ND,ND,ND
Idaho,Boise County,7028,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Bonner County,40877,ND,ND,ND,ND,ND,56,IN,IN,ND,ND,ND
Idaho,Bonneville County,104234,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Boundary County,10972,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Butte County,2891,ND,ND,ND,ND,0.062,ND,ND,ND,ND,ND,ND
Idaho,Canyon County,188923,ND,ND,ND,ND,ND,66,5.9,15,ND,ND,ND
Idaho,Caribou County,6963,ND,ND,ND,ND,ND,ND,IN,IN,2.54,23.7,75.7
Idaho,Cassia County,22952,ND,ND,ND,ND,0.061,ND,ND,ND,ND,ND,ND
Idaho,Franklin County,12786,ND,ND,ND,ND,ND,ND,IN,70,ND,ND,ND
Idaho,Gem County,16719,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Idaho County,16267,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Kootenai County,138494,ND,ND,IN,IN,0.056,ND,IN,IN,ND,ND,ND
Idaho,Latah County,37244,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Lemhi County,7936,ND,ND,ND,ND,ND,ND,10.3,35,ND,ND,ND
