region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
florida,santa rosa,151372,NA,NA,NA,NA,0.074,NA,IN,IN,NA,NA,NA
florida,sarasota,379448,NA,NA,3.986,IN,0.07,59,7.1,14,NA,NA,NA
florida,seminole,422718,NA,NA,NA,NA,0.067,46,7.6,14,NA,NA,NA
florida,volusia,494593,NA,NA,NA,NA,0.066,45,7.5,17,NA,NA,NA
florida,wakulla,30776,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA
georgia,bartow,100157,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
georgia,bibb,155547,NA,NA,NA,NA,0.071,50,13.7,28,1.458,5.9,23
georgia,chatham,265128,NA,NA,NA,NA,0.065,33,10.5,24,3.42,33.2,83
georgia,chattooga,26015,NA,NA,NA,NA,0.067,37,NA,NA,NA,NA,NA
georgia,clarke,116714,NA,NA,NA,NA,0.073,NA,11.3,23,NA,NA,NA
georgia,clayton,259424,NA,NA,NA,NA,NA,NA,13.4,25,NA,NA,NA
georgia,cobb,688078,NA,NA,NA,NA,0.079,NA,12.2,23,NA,NA,NA
georgia,columbia,124053,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA
georgia,coweta,127317,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA
georgia,dawson,22330,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
georgia,dekalb,691893,2,IN,13.657,58,0.075,51,12.3,24,IN,IN,IN
georgia,dougherty,94565,NA,NA,NA,NA,NA,50,IN,IN,NA,NA,NA
georgia,douglas,132403,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
georgia,floyd,96317,NA,NA,NA,NA,NA,47,IN,IN,1.551,10.5,49
georgia,fulton,920581,1,NA,NA,NA,0.08,48,14.5,24,1.908,10,33
georgia,glynn,79626,NA,NA,NA,NA,0.066,37,IN,IN,1.101,2.4,7
georgia,gwinnett,805321,NA,NA,NA,NA,0.072,NA,12.3,22,NA,NA,NA
georgia,hall,179684,NA,NA,NA,NA,NA,NA,11.4,23,NA,NA,NA
georgia,henry,203922,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
georgia,houston,139900,NA,NA,NA,NA,NA,NA,12,26,NA,NA,NA
georgia,lowndes,109233,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
georgia,murray,39628,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
georgia,muscogee,189885,NA,0.07,NA,NA,0.068,38,15,30,1.193,3.4,13
georgia,paulding,142324,1,NA,2.638,18,0.071,NA,11.2,21,NA,NA,NA
georgia,richmond,200549,NA,NA,NA,NA,0.072,42,13.4,27,NA,NA,NA
georgia,rockdale,85215,NA,NA,3.999,24,0.076,NA,NA,NA,NA,NA,NA
