region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
texas,bexar,1714773,1,NA,3.831,31.9,0.078,55,8.7,16,IN,IN,IN
texas,bowie,92565,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,brazoria,313166,NA,NA,5.369,34.1,0.088,NA,IN,IN,NA,NA,NA
texas,brewster,9232,NA,NA,NA,NA,0.064,NA,IN,IN,NA,NA,NA
texas,caldwell,38066,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,cameron,406220,1,0,NA,NA,0.068,47,IN,IN,NA,NA,NA
texas,collin,782341,NA,0.77,NA,NA,0.074,NA,IN,IN,NA,NA,NA
texas,dallas,2368139,2,NA,13.186,56.8,0.078,62,10.6,21,0.651,2.6,8.1
texas,denton,662614,NA,NA,6.481,35.2,0.078,NA,NA,NA,NA,NA,NA
texas,ector,137130,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,ellis,149610,NA,NA,7.193,42.9,0.072,NA,9.7,22,0.808,4.5,17.3
texas,el paso,800647,3,0.04,17.067,62.7,0.073,249,8.4,61,0.756,3,10.3
texas,galveston,291309,NA,NA,3.612,33.1,0.08,39,IN,IN,2.336,13.8,40
texas,gregg,121730,NA,NA,6.543,41.7,0.078,NA,IN,IN,1.208,9.5,76.3
texas,harris,4092459,2,0.01,14.941,60,0.087,82,12.3,24,1.879,11.8,45.6
texas,harrison,65631,NA,NA,3.721,24,0.074,40,10.4,22,NA,NA,NA
texas,hays,157107,NA,NA,IN,IN,0.072,NA,NA,NA,NA,NA,NA
texas,hidalgo,774769,NA,NA,NA,NA,0.065,50,IN,IN,NA,NA,NA
texas,hood,51182,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA
texas,hunt,86129,NA,NA,4.544,29.3,0.064,NA,NA,NA,NA,NA,NA
texas,jeff davis,2342,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,jefferson,252273,1,NA,7.837,39.4,0.081,NA,IN,IN,1.935,18.2,81.3
texas,johnson,150934,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
texas,kaufman,103350,NA,NA,4.34,29.5,0.064,NA,IN,IN,0.543,2.7,15.4
texas,kleberg,32061,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,lubbock,278831,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,mclennan,234906,0,NA,2.76,27,0.066,NA,IN,IN,0.394,6,7.3
texas,marion,10546,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,montgomery,455746,NA,NA,4.955,34.3,0.077,NA,IN,IN,NA,NA,NA
texas,navarro,47735,NA,NA,4.348,30.6,0.068,NA,NA,NA,1.092,7.1,34.8
texas,nueces,340223,NA,NA,NA,NA,0.074,35,IN,IN,0.901,9.8,43.2
texas,orange,81837,NA,NA,5.347,33.6,0.077,NA,IN,44,NA,NA,NA
texas,parker,116927,NA,NA,IN,IN,0.07,NA,NA,NA,NA,NA,NA
texas,potter,121073,NA,IN,NA,NA,NA,NA,IN,IN,NA,NA,NA
texas,rockwall,78337,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
texas,smith,209714,NA,NA,3.595,25.8,0.072,NA,NA,NA,NA,NA,NA
texas,tarrant,1809034,1,NA,10.331,56.9,0.085,44,10.8,25,NA,NA,NA
texas,travis,1024266,0,NA,3.314,21.1,0.074,34,10,19,NA,NA,NA
texas,victoria,86793,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA
texas,webb,250304,1,IN,NA,NA,0.063,66,IN,IN,NA,NA,NA
utah,box elder,49975,NA,NA,NA,NA,0.07,NA,8.4,49,NA,NA,NA
utah,cache,112656,NA,NA,12.555,IN,0.061,77,9.8,42,NA,NA,NA
utah,davis,306479,NA,NA,13.072,IN,0.074,51,9,44,0.729,4.5,IN
utah,salt lake,1029655,2,NA,17.07,58,0.075,298,11,50,4.2,11.1,27
utah,san juan,14746,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA
utah,tooele,58218,NA,NA,NA,NA,0.074,NA,6.7,32,NA,NA,NA
utah,uintah,32588,NA,NA,3.781,30,0.117,NA,NA,NA,NA,NA,NA
utah,utah,516564,2,NA,14.56,50,0.071,108,8.9,48,NA,NA,NA
utah,washington,138115,NA,NA,IN,IN,0.072,NA,4,9,NA,NA,NA
utah,weber,231236,2,NA,16.532,IN,0.073,197,9.2,42,NA,NA,NA
vermont,addison,36821,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
vermont,bennington,37125,NA,NA,NA,NA,0.068,NA,6.9,22,NA,NA,NA
vermont,chittenden,156545,1,NA,8.557,38.2,0.063,30,7.1,25,NA,NA,NA
vermont,rutland,61642,1,NA,7.685,38.5,NA,31,9.5,32,2.44,9.2,21.4
vermont,washington,59534,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
virginia,albemarle,98970,NA,NA,NA,NA,0.071,NA,9.4,20,NA,NA,NA
virginia,amherst,32353,NA,IN,NA,NA,NA,NA,NA,NA,NA,NA,NA
virginia,arlington,207627,2,NA,12.85,52,0.087,NA,IN,IN,NA,NA,NA
virginia,caroline,28545,NA,NA,IN,IN,0.074,NA,NA,NA,NA,NA,NA
virginia,carroll,30042,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA
virginia,charles city,7256,NA,NA,5.435,56,0.078,NA,9.4,21,1.917,9.3,44
virginia,chesterfield,316236,NA,NA,NA,NA,0.081,NA,10.2,22,NA,NA,NA
virginia,culpeper,46689,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
virginia,fairfax,1081726,NA,0,NA,NA,0.089,NA,9.9,24,NA,NA,NA
virginia,fauquier,65203,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA
virginia,frederick,78305,NA,NA,NA,NA,0.071,NA,10.8,25,NA,NA,NA
virginia,hanover,99863,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
virginia,henrico,306935,IN,0.01,11.146,45.6,0.079,33,10,22,IN,IN,IN
virginia,king william,15935,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA
virginia,loudoun,312311,NA,NA,7.58,44,0.078,NA,10.3,20,NA,NA,NA
virginia,madison,13308,NA,NA,NA,NA,0.074,NA,IN,IN,NA,NA,NA
virginia,page,24042,NA,NA,NA,NA,0.069,NA,10.2,24,NA,NA,NA
virginia,prince william,402002,NA,NA,5.123,30,0.073,NA,NA,NA,NA,NA,NA
virginia,roanoke,92376,NA,NA,7.586,41,0.073,NA,NA,NA,1.07,7,10
virginia,rockbridge,22307,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
virginia,rockingham,76314,NA,NA,10.432,44,0.068,NA,11.2,25,1.199,4.2,8
virginia,stafford,128961,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
virginia,warren,37575,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
virginia,wythe,29235,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
virginia,alexandria city,139966,2,NA,15.651,57,0.081,35,11.3,24,2.112,9.6,17
virginia,bristol city,17835,NA,NA,NA,NA,NA,NA,10.8,21,NA,NA,NA
virginia,chesapeake city,222209,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
virginia,fredericksburg city,24286,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA
virginia,hampton city,137436,1,NA,IN,IN,0.078,IN,IN,IN,IN,IN,IN
virginia,hopewell city,22591,NA,0,NA,NA,NA,30,NA,NA,NA,NA,NA
virginia,lynchburg city,75568,NA,NA,NA,NA,NA,NA,9.7,20,NA,NA,NA
virginia,newport news city,180719,1,NA,IN,IN,NA,IN,IN,IN,IN,IN,IN
virginia,norfolk city,242803,NA,NA,NA,NA,NA,37,10.2,22,NA,NA,NA
virginia,richmond city,204214,2,NA,11.998,57,NA,NA,IN,IN,2.013,8.7,39
virginia,roanoke city,97032,1,0.11,NA,NA,NA,33,10.2,23,NA,NA,NA
virginia,salem city,24802,NA,NA,NA,NA,NA,NA,10.4,22,NA,NA,NA
virginia,suffolk city,84585,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA
virginia,virginia beach city,437994,2,0.01,NA,NA,NA,NA,9.9,24,2.128,8.3,41
virginia,winchester city,26203,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
washington,adams,18728,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,asotin,21623,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,benton,175177,NA,NA,NA,NA,NA,50,IN,IN,NA,NA,NA
washington,chelan,72453,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,clallam,71404,IN,NA,NA,NA,0.054,NA,IN,IN,IN,IN,IN
washington,clark,425363,NA,NA,NA,NA,0.054,NA,6.2,18,NA,NA,NA
washington,cowlitz,102410,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,grant,89120,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,grays harbor,72797,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,jefferson,29872,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,king,1931249,1,NA,NA,NA,0.068,NA,IN,IN,1.136,8,24.5
washington,kitsap,251133,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,kittitas,40915,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,lewis,75455,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,mason,60699,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,okanogan,41120,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,pierce,795225,NA,NA,NA,NA,0.058,NA,7,21,NA,NA,NA
washington,skagit,116901,NA,NA,6.687,28.6,0.086,NA,IN,IN,NA,NA,NA
washington,skamania,11066,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,snohomish,713335,NA,NA,NA,NA,NA,NA,7.1,24,NA,NA,NA
washington,spokane,471221,2,NA,NA,NA,0.058,43,7.6,20,NA,NA,NA
washington,stevens,43531,NA,NA,NA,NA,NA,121,IN,IN,NA,NA,NA
washington,thurston,252264,NA,NA,NA,NA,0.054,NA,IN,IN,NA,NA,NA
washington,walla walla,58781,NA,NA,NA,NA,NA,84,IN,IN,NA,NA,NA
washington,whatcom,201140,NA,NA,NA,NA,0.048,NA,IN,IN,NA,NA,NA
washington,whitman,44776,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
washington,yakima,243231,NA,NA,NA,NA,NA,36,8.5,35,NA,NA,NA
west virginia,berkeley,104169,NA,NA,NA,NA,0.073,NA,12.3,36,NA,NA,NA
west virginia,brooke,24069,1,NA,NA,NA,NA,59,14.1,32,8.842,42,143
west virginia,cabell,96319,NA,NA,NA,NA,0.068,NA,13.2,28,3.178,12.6,31
west virginia,greenbrier,35480,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
west virginia,hancock,30676,1,NA,NA,NA,0.076,49,12.6,31,5.78,35.6,85
west virginia,harrison,69099,NA,NA,NA,NA,NA,NA,12,22,NA,NA,NA
west virginia,kanawha,193063,NA,0,NA,NA,0.07,49,13,25,3.889,21,51
west virginia,marion,56418,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
west virginia,marshall,33107,NA,NA,NA,NA,NA,NA,14.1,34,6.677,19.7,101
west virginia,mercer,62264,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
west virginia,monongalia,96189,NA,0.01,NA,NA,0.077,NA,11.3,24,3.169,11.8,24
west virginia,ohio,44443,NA,0.01,NA,NA,0.076,NA,12.9,28,NA,NA,NA
west virginia,raleigh,78859,NA,NA,NA,NA,NA,NA,10.3,21,NA,NA,NA
west virginia,summers,13927,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
west virginia,wood,86956,NA,NA,NA,NA,0.073,NA,13.4,28,6.299,22,84
wisconsin,ashland,16157,NA,NA,NA,NA,0.059,NA,5.3,17,NA,NA,NA
wisconsin,brown,248007,NA,NA,NA,NA,0.065,NA,10.2,36,2.273,15.7,69
wisconsin,columbia,56833,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA
wisconsin,dane,488073,NA,NA,NA,NA,0.061,39,10.1,30,NA,NA,NA
wisconsin,dodge,88759,0,NA,NA,NA,0.064,48,9.5,30,0.747,3.3,IN
wisconsin,door,27785,NA,NA,NA,NA,0.077,NA,IN,IN,NA,NA,NA
wisconsin,douglas,44159,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
wisconsin,eau claire,98736,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
wisconsin,florence,4423,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA
wisconsin,fond du lac,101633,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA
wisconsin,forest,9304,NA,NA,IN,IN,0.063,IN,6.5,22,1.854,5,8
wisconsin,grant,51208,NA,NA,NA,NA,NA,NA,10.3,30,NA,NA,NA
wisconsin,jefferson,83686,NA,NA,NA,NA,0.066,NA,IN,IN,NA,NA,NA
wisconsin,kenosha,166426,NA,NA,NA,NA,0.081,NA,10,23,NA,NA,NA
wisconsin,kewaunee,20574,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
wisconsin,la crosse,114638,NA,NA,NA,NA,0.062,NA,9.7,29,NA,NA,NA
wisconsin,manitowoc,81442,NA,NA,IN,IN,0.077,NA,9.2,30,NA,NA,NA
wisconsin,marathon,134063,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA
wisconsin,milwaukee,947735,NA,NA,12.898,53,0.082,54,11,33,IN,IN,IN
wisconsin,oneida,35998,NA,NA,NA,NA,0.06,NA,NA,NA,5.171,69.8,162
wisconsin,outagamie,176695,NA,NA,NA,NA,0.062,NA,9.7,37,NA,NA,NA
wisconsin,ozaukee,86395,NA,NA,NA,NA,0.078,NA,9.3,28,NA,NA,NA
wisconsin,racine,195408,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA
wisconsin,rock,160331,NA,NA,NA,NA,0.066,NA,IN,IN,NA,NA,NA
wisconsin,st. croix,84345,NA,NA,NA,NA,0.065,NA,9.2,27,NA,NA,NA
wisconsin,sauk,61976,NA,NA,NA,NA,0.06,NA,8.3,25,NA,NA,NA
wisconsin,sheboygan,115507,NA,0.15,NA,NA,0.085,NA,NA,NA,NA,NA,NA
wisconsin,taylor,20689,NA,NA,NA,NA,NA,NA,8,33,NA,NA,NA
wisconsin,vernon,29773,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA
wisconsin,vilas,21430,NA,NA,NA,NA,0.061,NA,5.7,21,NA,NA,NA
wisconsin,walworth,102228,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA
wisconsin,washington,131887,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA
wisconsin,waukesha,389891,NA,NA,NA,NA,0.062,50,11.4,36,NA,NA,NA
wisconsin,waupaca,52410,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
wisconsin,winnebago,166994,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
wisconsin,wood,74749,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
wyoming,albany,36299,NA,NA,NA,NA,NA,116,4.8,14,NA,NA,NA
wyoming,campbell,46133,NA,NA,6.674,34,0.063,135,IN,IN,1.603,19.4,52
wyoming,carbon,15885,NA,NA,1.382,8,0.065,IN,NA,NA,NA,NA,NA
wyoming,converse,13833,NA,NA,IN,IN,NA,108,IN,IN,NA,NA,NA
wyoming,crook,7083,NA,NA,NA,NA,0.058,NA,NA,NA,NA,NA,NA
wyoming,fremont,40123,NA,NA,0.911,IN,0.068,56,9.3,32,NA,NA,NA
wyoming,laramie,91738,NA,NA,NA,NA,NA,40,4.2,9,NA,NA,NA
wyoming,lincoln,18106,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA
wyoming,natrona,75450,NA,NA,NA,NA,NA,32,4.6,12,NA,NA,NA
wyoming,park,28205,NA,NA,NA,NA,NA,27,4.5,11,NA,NA,NA
wyoming,platte,8667,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
wyoming,sheridan,29116,NA,NA,NA,NA,NA,61,8.7,27,NA,NA,NA
wyoming,sublette,10247,NA,NA,2.843,39,0.067,40,6,15,NA,NA,NA
wyoming,sweetwater,43806,NA,NA,4.845,40,0.067,139,IN,IN,IN,IN,IN
wyoming,teton,21294,1,NA,NA,NA,0.066,45,4.3,9,NA,NA,NA
wyoming,uinta,21118,NA,NA,1.46,15,0.065,103,NA,NA,NA,NA,NA
wyoming,weston,7208,NA,NA,NA,NA,NA,NA,NA,NA,0.383,5.5,18
